Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
Girona 2 (la Font de la Pólvora - Vila-roja),37.8,27.4,25.1,72.7,13.1,7166.0
Girona 3 (Eixample Nord-est),68.8,8.6,8.2,14.2,13.0,20097.0
Girona 4 (Eixample Nord-oest),68.9,10.2,9.0,19.7,16.2,17939.0
Girona 5 (Eixample Sud-est),71.6,8.7,7.9,16.0,13.0,17773.0
Girona 6 (Eixample Sud-oest - Sant Narcís - Mas Xirgu),64.1,22.0,17.0,32.7,29.1,12014.0
Girona 7 (Montjuïc),71.2,2.9,3.9,3.4,1.9,22725.0
"Girona 8 (Pedret, Pont Major)",64.4,20.5,17.9,34.6,22.7,12198.0
"Girona 9 (Oest - Fontajau, Sant Ponç, Talaià, Domeny)",70.6,12.1,13.6,24.7,8.7,14911.0
Girona 10 (Santa Eugènia - Can Gibert del Pla),64.1,23.5,18.6,36.9,32.4,11136.0
"Girona 11 (Montilivi, Creueta, Palau, l'Avellaneda)",69.5,7.1,7.9,13.5,8.0,20766.0
Llagostera,67.1,15.8,19.8,35.8,14.6,13332.0
Lloret de Mar 1 (Interior Nord i Oest),60.1,11.0,12.7,31.3,15.9,12400.0
Lloret de Mar 2 (Litoral Central i Oest),49.2,14.2,14.9,41.1,36.7,10671.0
Lloret de Mar 3 (Litoral Est i Interior Est),48.5,11.8,15.2,36.1,25.5,12420.0
Lloret de Mar 4 (Interior Central),57.7,17.1,15.2,41.9,22.1,10698.0
Olot 1 (Centre-nord i Nord),65.4,23.8,27.5,48.9,33.0,12368.0
Olot 2 (Sud),71.7,16.2,22.5,35.3,17.5,14239.0
Olot 3 (Centre-est i Est),70.7,14.0,15.2,27.0,16.5,16685.0
Olot 4 (Oest),74.0,12.9,15.5,27.0,13.4,15957.0
Palafrugell 1 (Oest),61.4,20.1,22.9,40.5,24.0,11603.0
Palafrugell 2 (Est),66.0,16.0,17.5,33.1,15.5,14457.0
Palamós 1 (Est),65.7,14.4,16.6,33.7,13.0,13816.0
Palamós 2 (Oest),66.6,12.3,15.0,28.6,9.8,14580.0
Puigcerdà,64.1,14.8,13.2,34.3,17.0,13046.0
Ripoll,69.2,18.2,18.2,34.8,13.0,14862.0
Roses 1 (Litoral Central i Oest),56.3,19.5,24.4,44.5,25.1,11013.0
Roses 2 (Interior i Est),62.8,14.0,16.3,29.0,11.0,13676.0
Salt 1 (Nucli Urbà Sud i Exterior),65.7,18.4,21.5,38.6,24.9,12429.0
Salt 2 (Nucli Urbà Nord-est),56.9,28.5,29.2,52.5,40.2,9400.0
Salt 3 (Nucli Urbà Nord-oest),50.5,35.3,38.7,62.9,50.8,7983.0
"Sant Feliu de Guíxols 1 (Est, Centre i Oest)",64.3,15.4,16.1,30.6,13.2,13888.0
Sant Feliu de Guíxols 2 (Nord),61.6,20.9,23.6,43.4,17.2,10768.0
Santa Coloma de Farners 1 (Centre Urbà),66.2,20.0,25.0,44.4,26.4,13215.0
"Santa Coloma de Farners 2 (Eixamples Sud-est i Nord-oest, i Exterior)",71.1,14.2,15.9,32.8,13.8,14467.0
Torroella de Montgrí,64.6,16.6,15.8,35.8,19.8,13489.0
Balaguer 1 (Nucli Urbà Est i Exterior),60.8,18.8,18.1,40.0,24.6,11975.0
Balaguer 2 (Nucli Urbà Oest - Nucli Antic),50.1,30.9,24.5,70.6,31.7,8853.0
Balaguer 3 (Nucli Urbà Sud-est),69.9,10.7,12.5,21.8,11.8,15122.0
Cervera,67.9,17.3,19.1,35.8,21.9,13396.0
Guissona,76.1,19.8,25.9,43.0,52.3,13122.0
Lleida 1 (Balàfia),64.8,13.3,15.1,31.2,18.5,12966.0
Lleida 2 (Bordeta - Magraners),69.5,12.6,13.4,31.6,12.0,13126.0
"Lleida 3 (Camp d'Esports, Joc de la Bola, Xalets - Humbert Torres)",63.4,10.6,10.9,15.6,13.4,19054.0
Lleida 4 (Cappont),67.0,9.3,11.9,21.7,14.3,15263.0
"Lleida 5 (Centre Històric, Rambla Ferran-Estació)",49.5,23.8,18.1,42.1,37.7,12156.0
"Lleida 6 (Instituts - Templers, Caparrella, Butsènit)",60.4,12.4,14.0,22.8,16.3,15417.0
"Lleida 7 (Llívia, Secà de Sant Pere)",66.6,17.3,16.9,36.4,15.1,11810.0
Lleida 8 (Mariola),47.7,23.3,21.6,51.4,24.3,9512.0
Lleida 9 (Pardinyes),66.0,12.4,13.1,27.5,14.8,13198.0
Lleida 10 (Príncep de Viana - Clot),56.1,17.9,15.9,31.8,29.6,13282.0
Lleida 11 (Universitat),62.3,12.5,14.5,23.8,17.5,15331.0
"Lleida 12 (Vila Montcada - Ciutat Jardí, Raimat, Sucs)",71.5,5.6,10.3,8.3,3.3,22663.0
Mollerussa 1 (Centre i Nord),63.2,22.4,19.5,37.7,33.8,12738.0
"Mollerussa 2 (Est, Sud i Oest)",69.0,17.9,15.4,30.2,21.9,13774.0
"Seu d'Urgell 1 (Sud-est), la",51.6,20.7,15.3,33.0,12.2,11273.0
"Seu d'Urgell 2 (Nord-oest), la",54.8,14.6,13.5,21.0,6.3,12753.0
Tàrrega 1 (Oest),66.7,15.9,12.8,28.5,22.0,12906.0
Tàrrega 2 (Est),69.1,14.7,12.9,25.8,21.1,13144.0
Alcanar,55.5,20.6,17.9,25.6,17.2,11632.0
Amposta 1 (Nord),58.6,16.9,18.9,35.6,18.5,11471.0
Amposta 2 (Sud),65.0,12.9,13.2,26.2,14.4,12409.0
Calafell 1 (Interior i Litoral Oest),60.5,12.3,14.0,28.3,12.0,13340.0
Calafell 2 (Est i Litoral Central),60.2,11.0,10.8,27.9,9.1,14532.0
Calafell 3 (Litoral Est),53.6,16.5,16.6,34.3,21.8,11811.0
Cambrils 1 (Centre),61.2,10.9,16.1,31.7,16.9,12129.0
Cambrils 2 (Est),65.6,4.8,6.5,15.3,9.2,17756.0
Cambrils 3 (Oest),62.3,6.5,10.1,17.4,10.4,16123.0
Cunit 1 (Interior),61.7,12.8,16.1,32.6,9.7,13515.0
Cunit 2 (Litoral),55.6,16.1,18.6,40.1,17.4,12060.0
Mont-roig del Camp,57.6,14.6,14.6,34.4,16.7,12641.0
Reus 1 (Casc Antic - Centre),60.8,15.9,17.4,31.0,22.3,14067.0
"Reus 2 (Horts Miró, Muralla)",61.3,17.0,18.7,35.5,22.6,11165.0
"Reus 3 (Carrilet, Pastoreta)",60.7,16.5,20.1,35.2,21.6,11352.0
"Reus 4 (Misericòrdia, Mas Vilanova, Monestirs)",66.7,11.3,13.3,22.2,12.8,14727.0
"Reus 5 (Escorxador, Mare Molas)",65.7,12.6,16.3,23.8,13.7,13952.0
"Reus 6 (Ample, Mineta, Niloga, Poetes)",67.9,8.5,10.8,17.0,9.7,17301.0
Reus 7 (Xalets Quintana),69.9,9.0,12.2,21.8,7.8,15683.0
"Reus 8 (Mas Abelló, Mas Iglésies)",64.4,12.8,19.8,41.5,12.2,11663.0
"Reus 9 (Fortuny, Juroca, Montserrat)",55.1,23.1,24.3,46.2,23.7,10071.0
Reus 10 (Immaculada),68.6,9.3,12.2,17.9,4.7,16393.0
"Reus 11 (Gaudí, Alcolea)",63.8,16.6,19.0,40.9,14.7,11878.0
"Ràpita 1 (Nord), la",57.2,14.5,17.5,26.8,16.0,11834.0
"Ràpita 2 (Sud), la",59.7,10.0,15.0,21.7,11.3,13437.0
Tarragona 1 (Part Alta),58.8,12.4,11.8,24.9,18.5,13261.0
Tarragona 2 (Eixample Tarragona),62.2,9.6,12.8,21.7,19.3,15620.0
Tarragona 3 (Barris Marítims),62.6,10.9,13.2,29.3,17.2,13904.0
Tarragona 4 (Nou Eixample Nord-est),65.3,6.4,11.2,14.5,10.3,18341.0
Tarragona 5 (Nou Eixample Nord-oest),68.8,5.5,8.5,11.2,8.7,18747.0
Tarragona 6 (Nou Eixample Sud),64.3,7.5,12.1,16.7,14.0,16968.0
Tarragona 7 (Torreforta i Barris Adjacents),54.9,18.5,21.2,43.0,25.1,10501.0
Tarragona 8 (Campclar),49.7,18.9,20.9,46.7,21.6,10339.0
Tarragona 9 (Bonavista),56.2,20.6,22.5,43.1,21.6,10040.0
Tarragona 10 (Sant Salvador),56.2,15.1,20.4,43.6,27.7,11054.0
Tarragona 11 (Sant Pere i Sant Pau),65.3,10.5,13.6,25.4,12.4,13982.0
Tarragona 12 (Urbanitzacions de Llevant),68.0,3.2,5.6,10.5,4.4,22802.0
Torredembarra 1 (Interior i Litoral),62.9,10.1,13.7,25.2,11.3,14890.0
Torredembarra 2 (Centre),59.7,13.4,16.2,34.4,16.9,11933.0
Tortosa 1 (Sud-est),62.3,10.8,16.0,26.1,13.7,14917.0
Tortosa 2 (Oest),63.3,13.1,16.9,29.0,12.4,13027.0
Tortosa 3 (Nord-est),52.6,27.5,25.0,58.1,35.3,9262.0
"Valls 1 (Oest, Nucli Urbà Est, Exteriors Nord i Est)",68.3,11.4,13.6,24.9,9.4,14951.0
Valls 2 (Nucli Urbà Nord),60.7,18.4,20.1,43.3,22.6,12605.0
Valls 3 (Sud),52.8,21.5,20.1,48.3,27.8,11139.0
"Vendrell 1 (Centre i Exteriors Sud i Nord-est), el",61.5,15.3,15.8,31.7,12.4,12805.0
"Vendrell 2 (Est i Litoral), el",60.3,10.3,12.4,29.3,10.4,15121.0
"Vendrell 3 (Nucli Urbà Oest i Exterior Sud-oest), el",65.9,11.5,11.2,25.3,5.9,13947.0
"Vendrell 4 (Nucli Urbà Nord i Exterior Nord-oest), el",54.1,21.0,19.8,46.5,24.5,10538.0
Vila-seca 1 (Oest),60.9,13.5,15.7,32.4,15.8,12664.0
Vila-seca 2 (Est),75.0,8.0,8.4,22.8,6.7,14448.0
Deltebre,61.9,12.9,14.9,32.7,8.5,11894.0
Salou 1 (Nucli Urbà Litoral),50.4,12.8,16.7,41.9,37.0,11110.0
Salou 2 (Nucli Urbà Interior),58.3,9.7,12.6,25.1,20.6,13417.0
Salou 3 (Exterior),65.0,6.4,7.2,20.7,15.0,14946.0
Alt Camp Sud (Alcover),69.1,10.8,11.4,23.0,8.2,14299.0
Alt Camp Est (el Pla de Santa Maria),65.1,15.7,14.3,27.4,8.6,13324.0
Alt Empordà Nord-oest (la Jonquera),64.9,13.3,17.4,39.1,17.5,13866.0
Alt Empordà Oest (Vilafant),72.1,10.4,11.2,23.2,4.9,15075.0
Alt Empordà Centre (Peralada),71.3,13.4,12.4,25.3,6.1,15251.0
Alt Empordà Nord-est (Llançà - Cadaqués),64.5,14.0,17.3,30.8,9.5,15013.0
Alt Empordà Sud (Bàscara - Sant Pere Pescador),68.7,20.6,14.7,35.2,14.3,14742.0
Alt Penedès Nord-est (Gelida),70.6,10.2,12.0,22.0,7.2,15548.0
Alt Penedès Est (Olèrdola - Subirats),71.7,10.7,11.7,19.3,4.9,15807.0
Alt Penedès Nord (Sant Pere de Riudebitlles - Mediona),67.7,11.5,16.5,32.1,8.7,14275.0
Alt Penedès Oest (Sant Martí Sarroca),67.4,14.2,13.7,26.8,8.2,14058.0
Alt Penedès Sud (Santa Margarida i els Monjos),67.3,13.9,14.2,32.0,9.6,13587.0
Alt Urgell (sense la Seu d'Urgell),64.6,16.6,16.5,24.1,7.4,13580.0
Alta Ribagorça,65.5,11.4,14.3,19.8,11.3,15032.0
Anoia Nord i Oest (Calaf - Òdena),71.2,11.0,13.5,22.9,8.0,14626.0
Anoia Est (Masquefa),70.6,12.6,10.9,25.4,5.3,15091.0
Anoia Centre (Capellades),66.6,10.7,12.7,25.6,5.1,14424.0
Bages Nord (Navàs),68.2,13.8,16.4,23.3,7.6,15050.0
Bages Nord-est (Sallent - Artés),69.4,16.0,14.4,26.6,8.4,15028.0
Bages Centre-est (Sant Fruitós de Bages),71.9,12.4,12.6,22.3,5.2,16449.0
Bages Sud-est (Sant Vicenç de Castellet),64.3,15.5,17.1,34.0,10.2,13473.0
Bages Sud i Sud-oest (Castellbell i el Vilar - Sant Salvador de Guardiola),69.2,12.0,11.3,27.6,5.8,14624.0
Bages Nord-oest i Oest (Súria - Cardona),67.1,12.5,17.2,24.2,6.5,15664.0
Bages Centre (Santpedor),75.2,8.9,11.1,16.5,3.6,16757.0
Baix Camp Nord i Est (la Selva del Camp),71.6,8.9,8.4,16.7,4.4,16456.0
Baix Camp Centre (Riudoms),69.2,12.3,14.5,25.8,10.0,13787.0
Baix Camp Sud-oest i Oest (Vandellòs i l'Hospitalet de l'Infant - Riudecanyes),64.8,11.1,12.3,22.1,11.0,15153.0
Baix Ebre Oest (Roquetes),64.8,13.2,17.1,25.1,11.0,12588.0
Baix Ebre Nord-est (l'Ametlla de Mar),60.7,16.7,24.1,27.7,11.9,12529.0
Baix Ebre Sud-est (l'Aldea),62.1,16.9,22.2,37.1,16.1,12280.0
Baix Empordà Nord (Verges),70.0,17.5,12.1,27.4,10.9,16152.0
Baix Empordà Est (Begur),67.2,12.2,11.8,24.6,8.0,16541.0
Baix Empordà Centre-oest (Forallac - Santa Cristina d'Aro),69.3,12.6,12.0,23.5,7.3,16189.0
Baix Llobregat Nord-oest (Sant Esteve Sesrovires),73.9,7.6,10.1,13.3,2.9,18704.0
Baix Llobregat Centre-nord (el Papiol),73.0,9.0,10.7,16.4,5.4,16859.0
Baix Llobregat Centre-oest (Cervelló),73.2,7.8,9.3,15.5,4.5,17403.0
Baix Llobregat Centre-sud (Santa Coloma de Cervelló),74.9,6.8,9.0,13.1,3.1,17262.0
Baix Llobregat Sud-oest (Begues),73.4,6.0,8.4,13.8,3.3,18668.0
Baix Penedès Oest (la Bisbal del Penedès),60.0,16.7,13.0,36.3,5.5,12347.0
Baix Penedès Nord-est (Banyeres del Penedès),68.2,12.8,13.8,28.7,5.7,14219.0
Baix Penedès Centre-est (l'Arboç),62.9,16.4,17.8,35.8,15.6,12254.0
Berguedà Nord (Bagà),66.9,11.9,15.3,16.6,3.3,16129.0
Berguedà Sud (Gironella - Puig-reig),68.5,12.6,16.6,23.5,7.1,14856.0
Cerdanya (sense Puigcerdà),71.0,8.7,9.7,13.2,4.9,18646.0
Conca de Barberà Nord-est (Santa Coloma de Queralt),69.7,13.1,14.7,25.2,9.6,14409.0
Conca de Barberà Sud-oest (Montblanc),70.9,13.9,15.3,25.1,11.8,14647.0
Garraf Nord (Canyelles - Olivella),65.5,10.1,9.1,25.4,4.6,14735.0
Garrigues,68.9,18.3,18.4,28.5,13.9,13192.0
Garrotxa Nord (Sant Joan les Fonts - Besalú),73.7,12.6,16.6,23.8,7.9,15680.0
Garrotxa Sud (Vall d'en Bas),75.5,11.2,13.9,17.6,4.2,16613.0
Gironès Nord (Sarrià de Ter),75.5,10.2,11.1,22.5,7.4,15806.0
Gironès Nord-est (Celrà),72.6,14.9,13.8,30.4,17.7,15597.0
Gironès Oest i Nord-oest (Bescanó),76.2,8.5,10.0,19.2,3.6,17505.0
Gironès Centre (Quart),78.3,6.4,7.7,12.6,2.8,18463.0
Maresme A (Santa Susanna - Palafolls),69.3,12.0,10.6,26.4,5.5,13866.0
Maresme B (Sant Pol de Mar - Sant Cebrià de Vallalta),65.6,6.6,9.1,15.6,5.0,17021.0
Maresme C (Arenys de Munt - Sant Iscle de Vallalta),70.1,10.0,12.2,21.4,5.2,15411.0
Maresme D (Sant Vicenç de Montalt - Caldes d'Estrac),65.1,5.9,8.2,14.9,7.1,20040.0
Maresme E (Argentona - Dosrius),71.2,8.5,10.0,16.8,3.2,16411.0
Maresme F (Cabrils - Cabrera de Mar),69.5,5.2,6.5,9.5,5.4,20574.0
Maresme G (Alella - Teià),69.6,4.7,8.3,7.5,5.4,22827.0
Montsià Nord (Santa Bàrbara - Sant Jaume d'Enveja),62.4,16.6,19.7,32.6,10.6,11716.0
Montsià Sud-oest (Ulldecona - la Sénia),54.0,19.1,18.2,35.3,19.3,11369.0
Noguera Est (Artesa de Segre - Ponts),70.5,19.9,18.5,34.7,17.2,13792.0
Noguera Centre-oest (Camarasa - Albesa),71.7,16.7,15.6,25.3,10.4,14317.0
Osona Nord (Sant Pere de Torelló - Sant Quirze de Besora),73.2,17.7,14.5,26.5,7.4,15487.0
Osona Nord-est (Roda de Ter),73.4,15.4,14.2,28.7,9.9,15349.0
Osona Est (Taradell),76.9,12.0,11.2,19.2,5.0,17345.0
Osona Centre-sud i Sud-est (Tona - Seva),74.5,13.7,11.7,21.2,6.5,16773.0
Osona Sud (Centelles),72.1,15.5,12.7,23.4,7.0,14650.0
Osona Oest (Prats de Lluçanès),73.4,11.4,14.0,21.5,6.2,15902.0
Osona Centre-nord (Sant Hipòlit de Voltregà),75.5,14.2,12.2,19.8,6.4,17142.0
Pallars Jussà,63.6,16.5,18.4,22.2,12.7,14933.0
Pallars Sobirà,70.2,12.0,11.6,12.8,7.6,15738.0
Pla d'Urgell Nord (Linyola),69.4,20.3,20.8,32.9,18.1,13220.0
Pla d'Urgell Centre-sud (Palau d'Anglesola),72.1,15.6,16.2,24.4,11.5,14209.0
Pla de l'Estany (sense Banyoles),76.2,10.0,9.3,18.3,4.7,16187.0
Priorat,68.9,18.3,14.1,21.3,9.1,13657.0
Ribera d'Ebre Nord (Flix),60.7,13.6,21.5,23.5,9.2,15168.0
Ribera d'Ebre Sud (Móra d'Ebre),62.0,14.8,17.6,27.9,13.3,12933.0
Ripollès (sense Ripoll),72.3,13.1,14.7,19.1,6.7,16128.0
Segarra (sense Cervera i Guissona),73.9,13.8,14.7,18.3,9.0,14667.0
Segrià Nord (Almacelles),62.0,20.1,20.7,37.9,17.1,13111.0
Segrià Nord-est (Alcoletge),69.9,12.0,13.4,29.4,13.4,14119.0
Segrià Centre-nord (Alpicat-Torrefarrera),73.6,8.4,9.8,19.5,8.9,16916.0
Segrià Centre-oest (Alcarràs),69.1,23.6,19.0,43.5,30.5,12502.0
Segrià Sud-oest (Aitona),64.8,31.6,22.3,40.1,27.5,11774.0
Segrià Sud-est (Albatàrrec),70.9,16.7,15.3,25.7,11.4,13579.0
Selva Nord (Anglès),68.5,15.2,19.7,29.9,14.1,14298.0
Selva Oest (Arbúcies - Sant Hilari Sacalm),67.6,18.9,23.1,39.1,19.9,13514.0
Selva Sud-oest (Riells i Viabrea - Breda),68.9,15.0,10.2,23.2,5.6,14539.0
Selva Est (Caldes de Malavella),72.9,12.1,11.4,29.2,8.0,15487.0
Selva Sud-est (Vidreres),65.2,13.1,14.6,34.6,11.3,13855.0
Selva Sud (Maçanet de la Selva - Hostalric),64.9,18.2,15.2,37.5,9.7,13081.0
Solsonès,71.4,16.3,16.5,22.4,10.6,13908.0
Tarragonès Nord-est (Roda de Berà),61.9,12.9,15.3,31.0,10.2,13657.0
Tarragonès Centre-est (Altafulla - el Catllar),69.6,7.0,9.3,18.0,5.8,16895.0
Tarragonès Centre-nord (els Pallaresos),72.3,7.4,7.9,15.9,3.6,16565.0
Tarragonès Nord-oest (la Pobla de Mafumet - el Morell),71.0,11.5,10.5,27.7,9.8,13873.0
Tarragonès Centre-oest (Constantí - la Canonja),63.4,14.5,16.5,34.3,12.2,12382.0
Terra Alta,67.4,14.6,22.8,26.2,11.6,12118.0
Urgell Nord (Agramunt),70.6,18.5,17.0,30.7,15.7,13479.0
Urgell Sud (Bellpuig),67.6,17.7,18.5,26.1,16.1,13242.0
Aran,67.0,8.2,9.4,20.8,13.4,16089.0
Vallès Occidental Nord-est (Matadepera),72.6,5.9,5.5,9.0,2.2,22687.0
Vallès Occidental Nord-oest (Viladecavalls - Vacarisses),73.2,8.0,8.0,16.1,1.9,16546.0
Vallès Oriental Nord-est (Santa Maria de Palautordera),70.3,9.9,9.7,17.5,5.2,15969.0
Vallès Oriental Centre-nord (Sant Antoni de Vilamajor),71.7,10.4,9.6,18.3,3.3,16397.0
Vallès Oriental Nord-oest i Nord (Bigues i Riells del Fai - Aiguafreda),71.4,13.0,10.4,22.6,4.8,15994.0
Vallès Oriental Centre-oest (Santa Eulàlia de Ronçana - Lliçà de Vall),73.6,10.3,12.2,16.2,2.7,16688.0
Vallès Oriental Centre-est (Llinars del Vallès),71.9,11.6,12.0,23.1,6.3,15873.0
Vallès Oriental Sud-est (Vilanova del Vallès),73.4,7.1,6.8,13.0,3.2,18164.0
Vallès Oriental Sud (Sant Fost de Campsentelles),70.2,10.8,14.6,18.0,4.1,16568.0
Moianès,71.7,13.2,13.0,24.5,7.5,15303.0
"Fuente: Idescat. Índice socioeconómico territorial, a partir de los ficheros de afiliaciones y cuentas de cotización de la Seguridad Social de la Tesorería General de la Seguridad Social y el Instituto Social de la Marina, el Censo de población y el Atlas de distribución de renta de los hogares (ADRH) del Instituto Nacional de Estadística (INE).",,,,,,
