"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"080018","Abrera",,,"0308","Baix Llobregat","11","Baix Llobregat","18","0","37","10","0","10","55","20"
"080039","Alella",,,"0508","Maresme - Vallès Oriental","21","Maresme","4","0","11","2","0","3","15","5"
"080057","L'Ametlla del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","1","0","3","0","0","1","4","1"
"080060","Arenys de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","33","0","72","13","0","35","105","48"
"080076","Arenys de Munt",,,"0508","Maresme - Vallès Oriental","21","Maresme","6","0","7","6","0","7","13","13"
"080095","Argentona",,,"0508","Maresme - Vallès Oriental","21","Maresme","7","16","34","5","16","21","57","42"
"080109","Artés",,,"1060","Catalunya Central","07","Bages","3","0","0","3","0","0","3","3"
"080121","Avinyó",,,"1060","Catalunya Central","07","Bages","3","0","1","0","0","0","4","0"
"080137","Avinyonet del Penedès",,,"0208","Barcelona Comarques","03","Alt Penedès","1","0","0","1","0","0","1","1"
"080155","Badalona",,,"0208","Barcelona Comarques","13","Barcelonès","404","373","211","339","272","146","988","757"
"080168","Bagà",,,"1060","Catalunya Central","14","Berguedà","6","0","8","6","0","6","14","12"
"080174","Balenyà",,,"1060","Catalunya Central","24","Osona","3","0","0","3","0","0","3","3"
"080193","Barcelona","01","DM I - Ciutat vella","0108","Consorci d'Educació de Barcelona","13","Barcelonès","133","201","64","115","167","48","398","330"
"080193","Barcelona","02","DM II - Eixample","0108","Consorci d'Educació de Barcelona","13","Barcelonès","103","0","95","97","0","51","198","148"
"080193","Barcelona","03","DM III - Sants - Montjuïc","0108","Consorci d'Educació de Barcelona","13","Barcelonès","123","180","138","111","159","111","441","381"
"080193","Barcelona","04","DM IV - Les Corts","0108","Consorci d'Educació de Barcelona","13","Barcelonès","17","0","7","8","0","6","24","14"
"080193","Barcelona","05","DM V - Sarrià - Sant Gervasi","0108","Consorci d'Educació de Barcelona","13","Barcelonès","48","107","130","23","77","79","285","179"
"080193","Barcelona","06","DM VI - Gràcia","0108","Consorci d'Educació de Barcelona","13","Barcelonès","12","0","29","11","0","25","41","36"
"080193","Barcelona","07","DM VII - Horta - Guinardó","0108","Consorci d'Educació de Barcelona","13","Barcelonès","19","0","22","12","0","13","41","25"
"080193","Barcelona","08","DM VIII - Nou Barris","0108","Consorci d'Educació de Barcelona","13","Barcelonès","100","27","55","92","25","43","182","160"
"080193","Barcelona","09","DM IX - Sant Andreu","0108","Consorci d'Educació de Barcelona","13","Barcelonès","215","262","92","156","198","70","569","424"
"080193","Barcelona","10","DM X - Sant Martí","0108","Consorci d'Educació de Barcelona","13","Barcelonès","135","137","126","106","121","86","398","313"
"080207","Begues",,,"0308","Baix Llobregat","11","Baix Llobregat","6","0","14","4","0","12","20","16"
"080229","Berga",,,"1060","Catalunya Central","14","Berguedà","29","0","11","30","0","20","40","50"
"080235","Bigues i Riells",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","9","0","51","7","0","24","60","31"
"080272","Les Cabanyes",,,"0208","Barcelona Comarques","03","Alt Penedès","2","0","0","2","0","0","2","2"
"080288","Cabrera d'Anoia",,,"1060","Catalunya Central","06","Anoia","1","0","0","1","0","0","1","1"
"080291","Cabrera de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","0","0","0","0","0","1","0","1"
"080305","Cabrils",,,"0508","Maresme - Vallès Oriental","21","Maresme","1","0","12","0","0","6","13","6"
"080312","Calaf",,,"1060","Catalunya Central","06","Anoia","10","0","31","10","0","31","41","41"
"080327","Caldes d'Estrac",,,"0508","Maresme - Vallès Oriental","21","Maresme","2","0","10","0","0","4","12","4"
"080333","Caldes de Montbui",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","28","0","50","8","0","20","78","28"
"080351","Calella",,,"0508","Maresme - Vallès Oriental","21","Maresme","31","0","88","11","0","23","119","34"
"080370","Calldetenes",,,"1060","Catalunya Central","24","Osona","3","0","8","3","0","8","11","11"
"080403","Canet de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","27","0","51","12","0","14","78","26"
"080410","Canovelles",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","28","145","35","22","102","24","208","148"
"080431","Canyelles",,,"0208","Barcelona Comarques","17","Garraf","2","0","0","2","0","0","2","2"
"080446","Capellades",,,"1060","Catalunya Central","06","Anoia","3","0","14","2","0","14","17","16"
"080462","Cardedeu",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","8","0","27","8","0","24","35","32"
"080478","Cardona",,,"1060","Catalunya Central","07","Bages","3","0","7","3","0","5","10","8"
"080517","Castellar del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","2","0","6","1","0","5","8","6"
"080538","Castellbell i el Vilar",,,"1060","Catalunya Central","07","Bages","5","0","3","4","0","3","8","7"
"080543","Castellbisbal",,,"0408","Vallès Occidental","40","Vallès Occidental","5","0","22","4","0","22","27","26"
"080556","Castellcir",,,"1060","Catalunya Central","42","Moianès","1","0","0","1","0","0","1","1"
"080569","Castelldefels",,,"0308","Baix Llobregat","11","Baix Llobregat","117","0","172","41","0","85","289","126"
"080581","Castellet i la Gornal",,,"0208","Barcelona Comarques","03","Alt Penedès","0","0","2","0","0","2","2","2"
"080620","Castellnou de Bages",,,"1060","Catalunya Central","07","Bages","1","0","0","1","0","0","1","1"
"080667","Castellví de Rosanes",,,"0308","Baix Llobregat","11","Baix Llobregat","5","0","0","3","0","0","5","3"
"080673","Centelles",,,"1060","Catalunya Central","24","Osona","19","0","0","17","0","0","19","17"
"080689","Cervelló",,,"0308","Baix Llobregat","11","Baix Llobregat","9","0","17","5","0","0","26","5"
"080692","Collbató",,,"0308","Baix Llobregat","11","Baix Llobregat","4","0","16","1","0","10","20","11"
"080728","Corbera de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","7","0","28","3","0","7","35","10"
"080734","Cornellà de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","152","111","106","100","75","58","369","233"
"080749","Cubelles",,,"0208","Barcelona Comarques","17","Garraf","23","0","14","19","0","6","37","25"
"080752","Dosrius",,,"0508","Maresme - Vallès Oriental","21","Maresme","7","0","42","4","0","9","49","13"
"080765","Esparreguera",,,"0308","Baix Llobregat","11","Baix Llobregat","43","0","110","18","0","29","153","47"
"080771","Esplugues de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","75","69","66","60","68","14","210","142"
"080826","Fogars de la Selva",,,"0508","Maresme - Vallès Oriental","34","Selva","0","0","13","0","0","11","13","11"
"080847","Fonollosa",,,"1060","Catalunya Central","07","Bages","0","0","0","3","0","0","0","3"
"080863","Les Franqueses del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","37","37","34","18","31","16","108","65"
"080885","La Garriga",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","0","0","4","0","0","4","4","4"
"080898","Gavà",,,"0308","Baix Llobregat","11","Baix Llobregat","46","4","52","23","4","20","102","47"
"080919","Gelida",,,"0208","Barcelona Comarques","03","Alt Penedès","8","0","0","8","0","0","8","8"
"080924","Gironella",,,"1060","Catalunya Central","14","Berguedà","19","0","9","15","0","9","28","24"
"080945","La Granada",,,"0208","Barcelona Comarques","03","Alt Penedès","2","0","11","2","0","1","13","3"
"080961","Granollers",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","94","122","225","46","82","104","441","232"
"080983","Sant Salvador de Guardiola",,,"1060","Catalunya Central","07","Bages","1","0","1","1","0","1","2","2"
"080996","Guardiola de Berguedà",,,"1060","Catalunya Central","14","Berguedà","1","0","0","1","0","0","1","1"
"081017","L'Hospitalet de Llobregat",,,"0208","Barcelona Comarques","13","Barcelonès","435","199","61","403","189","57","695","649"
"081022","Igualada",,,"1060","Catalunya Central","06","Anoia","67","6","29","48","6","24","102","78"
"081056","La Llagosta",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","13","0","47","10","0","11","60","21"
"081069","Llinars del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","14","0","17","8","0","9","31","17"
"081075","Lliçà d'Amunt",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","16","0","58","0","0","8","74","8"
"081081","Lliçà de Vall",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","1","0","12","0","0","1","13","1"
"081108","Malgrat de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","30","0","101","27","0","48","131","75"
"081120","Manlleu",,,"1060","Catalunya Central","24","Osona","68","61","25","55","52","30","154","137"
"081136","Manresa",,,"1060","Catalunya Central","07","Bages","214","117","46","180","108","39","377","327"
"081141","Martorell",,,"0308","Baix Llobregat","11","Baix Llobregat","132","126","94","49","45","46","352","140"
"081154","Martorelles",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","5","0","10","4","0","3","15","7"
"081173","Les Masies de Voltregà",,,"1060","Catalunya Central","24","Osona","1","0","2","0","0","1","3","1"
"081189","El Masnou",,,"0508","Maresme - Vallès Oriental","21","Maresme","17","0","45","11","0","23","62","34"
"081192","Masquefa",,,"1060","Catalunya Central","06","Anoia","14","0","8","9","0","5","22","14"
"081206","Matadepera",,,"0408","Vallès Occidental","40","Vallès Occidental","3","0","0","3","0","0","3","3"
"081213","Mataró",,,"0508","Maresme - Vallès Oriental","21","Maresme","222","228","378","153","170","266","828","589"
"081228","Mediona",,,"0208","Barcelona Comarques","03","Alt Penedès","4","0","2","4","0","2","6","6"
"081234","Molins de Rei",,,"0308","Baix Llobregat","11","Baix Llobregat","34","0","127","21","0","83","161","104"
"081249","Mollet del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","98","27","196","39","25","128","321","192"
"081252","Montcada i Reixac",,,"0408","Vallès Occidental","40","Vallès Occidental","92","29","3","35","29","1","124","65"
"081265","Montgat",,,"0508","Maresme - Vallès Oriental","21","Maresme","17","0","38","2","0","3","55","5"
"081271","Monistrol de Montserrat",,,"1060","Catalunya Central","07","Bages","2","0","0","2","0","0","2","2"
"081326","Montmajor",,,"1060","Catalunya Central","14","Berguedà","0","0","1","0","0","0","1","0"
"081350","Montmeló",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","11","0","56","0","0","4","67","4"
"081363","Montornès del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","42","108","83","23","81","24","233","128"
"081385","Moià",,,"1060","Catalunya Central","42","Moianès","5","0","2","2","0","2","7","4"
"081402","Navarcles",,,"1060","Catalunya Central","07","Bages","1","0","3","1","0","2","4","3"
"081419","Navàs",,,"1060","Catalunya Central","07","Bages","4","0","2","3","0","1","6","4"
"081430","Òdena",,,"1060","Catalunya Central","06","Anoia","1","0","0","1","0","0","1","1"
"081458","Olèrdola",,,"0208","Barcelona Comarques","03","Alt Penedès","2","0","1","2","0","1","3","3"
"081461","Olesa de Bonesvalls",,,"0208","Barcelona Comarques","03","Alt Penedès","2","0","5","2","0","5","7","7"
"081477","Olesa de Montserrat",,,"0308","Baix Llobregat","11","Baix Llobregat","41","4","72","38","4","69","117","111"
"081496","Olost",,,"1060","Catalunya Central","24","Osona","1","0","0","0","0","0","1","0"
"081537","Òrrius",,,"0508","Maresme - Vallès Oriental","21","Maresme","4","0","11","0","0","0","15","0"
"081542","Pacs del Penedès",,,"0208","Barcelona Comarques","03","Alt Penedès","1","0","0","1","0","0","1","1"
"081555","Palafolls",,,"0508","Maresme - Vallès Oriental","21","Maresme","12","0","16","4","0","3","28","7"
"081568","Palau-solità i Plegamans",,,"0408","Vallès Occidental","40","Vallès Occidental","9","0","18","6","0","17","27","23"
"081574","Pallejà",,,"0308","Baix Llobregat","11","Baix Llobregat","28","0","71","28","0","70","99","98"
"081593","Parets del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","14","0","32","3","0","8","46","11"
"081607","Perafita",,,"1060","Catalunya Central","24","Osona","1","0","0","1","0","0","1","1"
"081614","Piera",,,"1060","Catalunya Central","06","Anoia","32","0","20","23","0","20","52","43"
"081629","Els Hostalets de Pierola",,,"1060","Catalunya Central","06","Anoia","3","0","0","2","0","0","3","2"
"081635","Pineda de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","69","29","217","37","13","112","315","162"
"081653","La Pobla de Claramunt",,,"1060","Catalunya Central","06","Anoia","2","0","0","2","0","0","2","2"
"081672","Polinyà",,,"0408","Vallès Occidental","40","Vallès Occidental","21","0","10","12","0","7","31","19"
"081691","El Prat de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","174","101","200","158","101","192","475","451"
"081712","Prats de Lluçanès",,,"1060","Catalunya Central","24","Osona","2","0","0","2","0","0","2","2"
"081727","Premià de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","21","0","100","9","0","12","121","21"
"081799","Rellinars",,,"0408","Vallès Occidental","40","Vallès Occidental","0","0","1","0","0","1","1","1"
"081803","Ripollet",,,"0408","Vallès Occidental","40","Vallès Occidental","55","0","50","39","0","29","105","68"
"081810","La Roca del Vallès",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","13","0","55","0","0","16","68","16"
"081825","El Pont de Vilomara i Rocafort",,,"1060","Catalunya Central","07","Bages","3","0","2","3","0","2","5","5"
"081831","Roda de Ter",,,"1060","Catalunya Central","24","Osona","7","0","10","5","0","10","17","15"
"081846","Rubí",,,"0408","Vallès Occidental","40","Vallès Occidental","95","0","209","75","0","201","304","276"
"081878","Sabadell",,,"0408","Vallès Occidental","40","Vallès Occidental","519","296","100","406","285","93","915","784"
"081918","Sallent",,,"1060","Catalunya Central","07","Bages","1","0","0","1","0","0","1","1"
"081923","Santpedor",,,"1060","Catalunya Central","07","Bages","1","0","1","1","0","1","2","2"
"081939","Sant Iscle de Vallalta",,,"0508","Maresme - Vallès Oriental","21","Maresme","0","0","3","0","0","3","3","3"
"081944","Sant Adrià de Besòs",,,"0208","Barcelona Comarques","13","Barcelonès","36","30","20","23","14","10","86","47"
"081960","Sant Andreu de la Barca",,,"0308","Baix Llobregat","11","Baix Llobregat","49","0","121","35","0","110","170","145"
"081976","Sant Andreu de Llavaneres",,,"0508","Maresme - Vallès Oriental","21","Maresme","3","0","4","1","0","3","7","4"
"081982","Sant Antoni de Vilamajor",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","0","0","8","0","0","2","8","2"
"082009","Sant Boi de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","141","65","255","98","52","75","461","225"
"082016","Sant Boi de Lluçanès",,,"1060","Catalunya Central","24","Osona","2","0","0","2","0","0","2","2"
"082021","Sant Celoni",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","19","0","15","16","0","18","34","34"
"082037","Sant Cebrià de Vallalta",,,"0508","Maresme - Vallès Oriental","21","Maresme","5","0","6","3","0","0","11","3"
"082042","Sant Climent de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","3","0","11","0","0","0","14","0"
"082055","Sant Cugat del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","57","0","30","43","0","18","87","61"
"082074","Sant Esteve de Palautordera",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","3","0","9","1","0","2","12","3"
"082080","Sant Esteve Sesrovires",,,"0308","Baix Llobregat","11","Baix Llobregat","9","0","8","4","0","4","17","8"
"082093","Sant Fost de Campsentelles",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","6","0","14","4","0","3","20","7"
"082107","Sant Feliu de Codines",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","2","0","9","0","0","8","11","8"
"082114","Sant Feliu de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","75","0","89","69","0","58","164","127"
"082129","Sant Feliu Sasserra",,,"1060","Catalunya Central","07","Bages","1","0","0","1","0","0","1","1"
"082135","Sant Fruitós de Bages",,,"1060","Catalunya Central","07","Bages","10","0","11","8","0","8","21","16"
"082140","Vilassar de Dalt",,,"0508","Maresme - Vallès Oriental","21","Maresme","2","0","6","1","0","0","8","1"
"082153","Sant Hipòlit de Voltregà",,,"1060","Catalunya Central","24","Osona","3","0","4","3","0","4","7","7"
"082172","Sant Joan Despí",,,"0308","Baix Llobregat","11","Baix Llobregat","55","52","107","34","52","53","214","139"
"082188","Sant Joan de Vilatorrada",,,"1060","Catalunya Central","07","Bages","14","0","14","3","0","8","28","11"
"082191","Vilassar de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","11","0","90","1","0","7","101","8"
"082212","Sant Just Desvern",,,"0308","Baix Llobregat","11","Baix Llobregat","13","0","14","11","0","6","27","17"
"082227","Sant Llorenç d'Hortons",,,"0208","Barcelona Comarques","03","Alt Penedès","1","0","0","1","0","0","1","1"
