"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"250518","Bellver de Cerdanya",,,"0125","Lleida","15","Cerdanya","1","0","0","1","0","0","1","1"
"250523","Bellvís",,,"0125","Lleida","27","Pla d'Urgell","1","0","3","1","0","3","4","4"
"250582","Les Borges Blanques",,,"0125","Lleida","18","Garrigues","10","0","17","8","0","13","27","21"
"250595","Bossòst",,,"0125","Lleida","39","Val d'Aran","0","0","2","0","0","1","2","1"
"250674","Castelldans",,,"0125","Lleida","18","Garrigues","0","0","6","0","0","4","6","4"
"250680","Castellnou de Seana",,,"0125","Lleida","27","Pla d'Urgell","1","0","2","1","0","2","3","3"
"250693","Castelló de Farfanya",,,"0125","Lleida","23","Noguera","1","0","1","1","0","1","2","2"
"250707","Castellserà",,,"0125","Lleida","38","Urgell","0","0","12","0","0","7","12","7"
"250729","Cervera",,,"0125","Lleida","32","Segarra","31","0","12","22","0","6","43","28"
"250735","Cervià de les Garrigues",,,"0125","Lleida","18","Garrigues","3","0","2","2","0","2","5","4"
"250772","Coll de Nargó",,,"0125","Lleida","04","Alt Urgell","2","0","1","2","0","0","3","2"
"250788","Corbins",,,"0125","Lleida","33","Segrià","2","0","3","1","0","1","5","2"
"250791","Cubells",,,"0125","Lleida","23","Noguera","0","0","1","0","0","1","1","1"
"250864","Esterri d'Àneu",,,"0125","Lleida","26","Pallars Sobirà","4","0","0","4","0","0","4","4"
"250962","La Fuliola",,,"0125","Lleida","38","Urgell","5","0","1","4","0","1","6","5"
"250997","Golmés",,,"0125","Lleida","27","Pla d'Urgell","4","0","0","2","0","0","4","2"
"251018","La Granadella",,,"0125","Lleida","18","Garrigues","1","0","1","0","0","1","2","1"
"251023","La Granja d'Escarp",,,"0125","Lleida","33","Segrià","3","0","2","1","0","2","5","3"
"251109","Guissona",,,"0125","Lleida","32","Segarra","5","0","10","1","0","21","15","22"
"251121","Ivars de Noguera",,,"0125","Lleida","23","Noguera","0","0","3","0","0","3","3","3"
"251137","Ivars d'Urgell",,,"0125","Lleida","27","Pla d'Urgell","0","0","7","0","0","1","7","1"
"251155","Isona i Conca Dellà",,,"0125","Lleida","25","Pallars Jussà","2","0","1","2","0","1","3","3"
"251180","Juncosa",,,"0125","Lleida","18","Garrigues","0","0","1","0","0","1","1","1"
"251193","Juneda",,,"0125","Lleida","18","Garrigues","2","0","7","1","0","7","9","8"
"251207","Lleida",,,"0125","Lleida","33","Segrià","398","217","391","295","173","341","1.006","809"
"251214","Les",,,"0125","Lleida","39","Val d'Aran","0","0","0","0","0","0","0","0"
"251229","Linyola",,,"0125","Lleida","27","Pla d'Urgell","1","0","12","0","0","12","13","12"
"251266","Llavorsí",,,"0125","Lleida","26","Pallars Sobirà","1","0","2","1","0","2","3","3"
"251312","Massalcoreig",,,"0125","Lleida","33","Segrià","1","0","5","1","0","5","6","6"
"251333","Maials",,,"0125","Lleida","33","Segrià","0","0","2","0","0","2","2","2"
"251351","Miralcamp",,,"0125","Lleida","27","Pla d'Urgell","2","0","4","2","0","4","6","6"
"251370","Mollerussa",,,"0125","Lleida","27","Pla d'Urgell","57","38","22","50","32","37","117","119"
"251386","Montgai",,,"0125","Lleida","23","Noguera","0","0","2","0","0","2","2","2"
"251399","Montellà i Martinet",,,"0125","Lleida","15","Cerdanya","2","0","2","2","0","2","4","4"
"251403","Montferrer i Castellbò",,,"0125","Lleida","04","Alt Urgell","1","0","3","1","0","1","4","2"
"251462","Navès",,,"1060","Catalunya Central","35","Solsonès","2","0","0","2","0","0","2","2"
"251556","Organyà",,,"0125","Lleida","04","Alt Urgell","1","0","1","0","0","0","2","0"
"251569","Os de Balaguer",,,"0125","Lleida","23","Noguera","0","0","2","0","0","2","2","2"
"251581","El Palau d'Anglesola",,,"0125","Lleida","27","Pla d'Urgell","3","0","7","2","0","5","10","7"
"251641","Penelles",,,"0125","Lleida","23","Noguera","2","0","0","2","0","0","2","2"
"251706","Bellaguarda",,,"0125","Lleida","18","Garrigues","1","0","3","1","0","3","4","4"
"251713","La Pobla de Segur",,,"0125","Lleida","25","Pallars Jussà","3","0","25","5","0","27","28","32"
"251728","Ponts",,,"0125","Lleida","23","Noguera","6","0","8","0","0","0","14","0"
"251734","El Pont de Suert",,,"0125","Lleida","05","Alta Ribagorça","12","0","1","7","0","1","13","8"
"251804","Puiggròs",,,"0125","Lleida","18","Garrigues","1","0","6","0","0","4","7","4"
"251826","Puigverd de Lleida",,,"0125","Lleida","33","Segrià","1","0","5","1","0","5","6","6"
"251832","Rialp",,,"0125","Lleida","26","Pallars Sobirà","2","0","2","2","0","2","4","4"
"251898","Rosselló",,,"0125","Lleida","33","Segrià","2","0","17","2","0","11","19","13"
"251924","Sant Guim de Freixenet",,,"0125","Lleida","32","Segarra","0","0","4","0","0","0","4","0"
"252038","La Seu d'Urgell",,,"0125","Lleida","04","Alt Urgell","20","0","49","14","0","19","69","33"
"252043","Seròs",,,"0125","Lleida","33","Segrià","3","0","14","0","0","11","17","11"
"252056","Sidamon",,,"0125","Lleida","27","Pla d'Urgell","2","0","7","1","0","5","9","6"
"252069","El Soleràs",,,"0125","Lleida","18","Garrigues","0","0","3","0","0","3","3","3"
"252075","Solsona",,,"1060","Catalunya Central","35","Solsonès","10","0","9","9","0","9","19","18"
"252094","Sort",,,"0125","Lleida","26","Pallars Sobirà","16","0","21","11","0","13","37","24"
"252108","Soses",,,"0125","Lleida","33","Segrià","5","0","5","4","0","0","10","4"
"252120","Sunyer",,,"0125","Lleida","33","Segrià","1","0","1","1","0","1","2","2"
"252173","Tàrrega",,,"0125","Lleida","38","Urgell","35","0","40","31","0","39","75","70"
"252234","Torà",,,"0125","Lleida","32","Segarra","1","0","4","0","0","4","5","4"
"252265","Torrebesses",,,"0125","Lleida","33","Segrià","1","0","0","1","0","0","1","1"
"252271","La Torre de Cabdella",,,"0125","Lleida","25","Pallars Jussà","0","0","2","0","0","1","2","1"
"252287","Torrefarrera",,,"0125","Lleida","33","Segrià","18","0","23","8","0","10","41","18"
"252304","Torregrossa",,,"0125","Lleida","27","Pla d'Urgell","5","0","0","5","0","0","5","5"
"252326","Torres de Segre",,,"0125","Lleida","33","Segrià","1","0","9","1","0","9","10","10"
"252347","Tremp",,,"0125","Lleida","25","Pallars Jussà","12","0","7","5","0","7","19","12"
"252402","Vallfogona de Balaguer",,,"0125","Lleida","23","Noguera","2","0","9","2","0","2","11","4"
"252424","Verdú",,,"0125","Lleida","38","Urgell","2","0","0","1","0","0","2","1"
"252430","Vielha e Mijaran",,,"0125","Lleida","39","Val d'Aran","13","0","18","1","0","18","31","19"
"252458","Vilaller",,,"0125","Lleida","05","Alta Ribagorça","0","0","1","0","0","1","1","1"
"252509","Vilanova de Meià",,,"0125","Lleida","23","Noguera","0","0","3","0","0","3","3","3"
"259101","Josa i Tuixén",,,"0125","Lleida","04","Alt Urgell","0","0","1","0","0","1","1","1"
"259123","Gimenells i el Pla de la Font",,,"0125","Lleida","33","Segrià","1","0","1","0","0","0","2","0"
"430017","Aiguamúrcia",,,"0143","Tarragona","01","Alt Camp","3","0","1","1","0","1","4","2"
"430022","Albinyana",,,"0143","Tarragona","12","Baix Penedès","0","0","4","0","0","2","4","2"
"430043","Alcanar",,,"0243","Terres de l'Ebre","22","Montsià","9","0","8","0","0","0","17","0"
"430056","Alcover",,,"0143","Tarragona","01","Alt Camp","2","0","4","0","0","2","6","2"
"430069","Aldover",,,"0243","Terres de l'Ebre","09","Baix Ebre","1","0","1","1","0","1","2","2"
"430094","Alforja",,,"0143","Tarragona","08","Baix Camp","2","0","0","2","0","0","2","2"
"430115","Almoster",,,"0143","Tarragona","08","Baix Camp","1","0","0","1","0","0","1","1"
"430120","Altafulla",,,"0143","Tarragona","36","Tarragonès","8","0","7","8","0","7","15","15"
"430136","L'Ametlla de Mar",,,"0243","Terres de l'Ebre","09","Baix Ebre","12","0","12","11","0","11","24","22"
"430141","Amposta",,,"0243","Terres de l'Ebre","22","Montsià","43","0","209","25","0","102","252","127"
"430167","L'Arboç",,,"0143","Tarragona","12","Baix Penedès","18","0","15","7","0","20","33","27"
"430189","Arnes",,,"0243","Terres de l'Ebre","37","Terra Alta","0","0","1","0","0","1","1","1"
"430192","Ascó",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","4","0","10","3","0","2","14","5"
"430206","Banyeres del Penedès",,,"0143","Tarragona","12","Baix Penedès","4","0","2","2","0","2","6","4"
"430249","Bellvei",,,"0143","Tarragona","12","Baix Penedès","5","0","4","2","0","2","9","4"
"430252","Benifallet",,,"0243","Terres de l'Ebre","09","Baix Ebre","1","0","0","0","0","1","1","1"
"430265","Benissanet",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","0","0","3","0","0","1","3","1"
"430287","La Bisbal del Penedès",,,"0143","Tarragona","12","Baix Penedès","8","0","4","3","0","2","12","5"
"430304","Bonastre",,,"0143","Tarragona","12","Baix Penedès","2","0","3","1","0","1","5","2"
"430311","Les Borges del Camp",,,"0143","Tarragona","08","Baix Camp","13","0","9","7","0","2","22","9"
"430326","Bot",,,"0243","Terres de l'Ebre","37","Terra Alta","0","0","1","0","0","1","1","1"
"430363","Cabra del Camp",,,"0143","Tarragona","01","Alt Camp","0","0","2","0","0","2","2","2"
"430379","Calafell",,,"0143","Tarragona","12","Baix Penedès","85","0","50","50","0","43","135","93"
"430385","Cambrils",,,"0143","Tarragona","08","Baix Camp","66","0","19","52","0","19","85","71"
"430430","El Catllar",,,"0143","Tarragona","36","Tarragonès","0","0","2","0","0","2","2","2"
"430445","La Sénia",,,"0243","Terres de l'Ebre","22","Montsià","7","0","34","5","0","24","41","29"
"430477","Constantí",,,"0143","Tarragona","36","Tarragonès","50","15","0","50","15","0","65","65"
"430483","Corbera d'Ebre",,,"0243","Terres de l'Ebre","37","Terra Alta","1","0","2","1","0","2","3","3"
"430496","Cornudella de Montsant",,,"0143","Tarragona","29","Priorat","6","0","10","6","0","8","16","14"
"430509","Creixell",,,"0143","Tarragona","36","Tarragonès","9","0","10","6","0","7","19","13"
"430516","Cunit",,,"0143","Tarragona","12","Baix Penedès","29","0","22","18","0","21","51","39"
"430521","Xerta",,,"0243","Terres de l'Ebre","09","Baix Ebre","0","0","3","0","0","2","3","2"
"430542","L'Espluga de Francolí",,,"0143","Tarragona","16","Conca de Barberà","3","0","16","3","0","13","19","16"
"430555","Falset",,,"0143","Tarragona","29","Priorat","6","0","17","2","0","13","23","15"
"430607","Flix",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","8","0","22","8","0","22","30","30"
"430629","Freginals",,,"0243","Terres de l'Ebre","22","Montsià","0","0","1","0","0","1","1","1"
"430635","La Galera",,,"0243","Terres de l'Ebre","22","Montsià","1","0","3","1","0","3","4","4"
"430640","Gandesa",,,"0243","Terres de l'Ebre","37","Terra Alta","8","0","13","3","0","12","21","15"
"430653","Garcia",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","1","0","2","0","0","2","3","2"
"430672","Ginestar",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","3","0","0","1","0","0","3","1"
"430688","Godall",,,"0243","Terres de l'Ebre","22","Montsià","1","0","1","1","0","1","2","2"
"430764","Marçà",,,"0143","Tarragona","29","Priorat","1","0","0","1","0","0","1","1"
"430786","Masdenverge",,,"0243","Terres de l'Ebre","22","Montsià","0","0","0","0","0","0","0","0"
"430799","Masllorenç",,,"0143","Tarragona","12","Baix Penedès","2","0","1","3","0","1","3","4"
"430810","Maspujols",,,"0143","Tarragona","08","Baix Camp","1","0","2","1","0","2","3","3"
"430846","Miravet",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","0","0","7","0","0","3","7","3"
"430862","Montblanc",,,"0143","Tarragona","16","Conca de Barberà","20","0","22","14","0","20","42","34"
"430884","Montbrió del Camp",,,"0143","Tarragona","08","Baix Camp","6","0","3","6","0","3","9","9"
"430901","El Montmell",,,"0143","Tarragona","12","Baix Penedès","2","0","7","2","0","7","9","9"
"430923","Mont-roig del Camp",,,"0143","Tarragona","08","Baix Camp","51","2","16","39","2","16","69","57"
"430939","Móra d'Ebre",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","18","0","28","15","0","17","46","32"
"430944","Móra la Nova",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","5","0","33","5","0","31","38","36"
"430957","El Morell",,,"0143","Tarragona","36","Tarragonès","18","0","6","8","0","6","24","14"
"430976","La Nou de Gaià",,,"0143","Tarragona","36","Tarragonès","3","0","0","3","0","0","3","3"
"431009","Els Pallaresos",,,"0143","Tarragona","36","Tarragonès","1","0","3","0","0","1","4","1"
"431021","Paüls",,,"0243","Terres de l'Ebre","09","Baix Ebre","1","0","0","0","0","0","1","0"
"431042","El Perelló",,,"0243","Terres de l'Ebre","09","Baix Ebre","2","0","10","1","0","4","12","5"
"431068","El Pinell de Brai",,,"0243","Terres de l'Ebre","37","Terra Alta","0","0","2","0","0","2","2","2"
"431080","El Pla de Santa Maria",,,"0143","Tarragona","01","Alt Camp","6","0","1","3","0","0","7","3"
"431093","La Pobla de Mafumet",,,"0143","Tarragona","36","Tarragonès","4","0","9","1","0","4","13","5"
"431107","La Pobla de Massaluca",,,"0243","Terres de l'Ebre","37","Terra Alta","0","0","2","0","0","2","2","2"
"431114","La Pobla de Montornès",,,"0143","Tarragona","36","Tarragonès","6","0","3","6","0","3","9","9"
"431135","El Pont d'Armentera",,,"0143","Tarragona","01","Alt Camp","1","0","5","1","0","3","6","4"
"431166","Prades",,,"0143","Tarragona","08","Baix Camp","2","0","1","1","0","1","3","2"
"431191","Puigpelat",,,"0143","Tarragona","01","Alt Camp","2","0","3","0","0","3","5","3"
"431212","Rasquera",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","1","0","3","0","0","0","4","0"
"431233","Reus",,,"0143","Tarragona","08","Baix Camp","262","240","164","192","225","114","666","531"
"431248","La Riba",,,"0143","Tarragona","01","Alt Camp","1","0","2","1","0","2","3","3"
"431264","La Riera de Gaià",,,"0143","Tarragona","36","Tarragonès","3","0","2","1","0","1","5","2"
"431270","Riudecanyes",,,"0143","Tarragona","08","Baix Camp","2","0","5","2","0","5","7","7"
"431286","Riudecols",,,"0143","Tarragona","08","Baix Camp","4","0","3","4","0","3","7","7"
"431299","Riudoms",,,"0143","Tarragona","08","Baix Camp","12","0","3","5","0","2","15","7"
"431310","Roda de Berà",,,"0143","Tarragona","36","Tarragonès","6","0","3","6","0","1","9","7"
"431325","Rodonyà",,,"0143","Tarragona","01","Alt Camp","1","0","1","1","0","1","2","2"
"431331","Roquetes",,,"0243","Terres de l'Ebre","09","Baix Ebre","6","0","6","6","0","6","12","12"
"431359","Salomó",,,"0143","Tarragona","36","Tarragonès","7","0","4","1","0","3","11","4"
"431362","Sant Carles de la Ràpita",,,"0243","Terres de l'Ebre","22","Montsià","9","0","47","9","0","38","56","47"
"431378","Sant Jaume dels Domenys",,,"0143","Tarragona","12","Baix Penedès","5","0","1","1","0","1","6","2"
"431384","Santa Bàrbara",,,"0243","Terres de l'Ebre","22","Montsià","6","0","19","6","0","19","25","25"
"431397","Santa Coloma de Queralt",,,"0143","Tarragona","16","Conca de Barberà","7","0","1","5","0","1","8","6"
"431401","Santa Oliva",,,"0143","Tarragona","12","Baix Penedès","3","0","3","3","0","3","6","6"
"431423","Sarral",,,"0143","Tarragona","16","Conca de Barberà","4","0","0","4","0","0","4","4"
"431444","La Secuita",,,"0143","Tarragona","36","Tarragonès","4","0","0","3","0","0","4","3"
"431457","La Selva del Camp",,,"0143","Tarragona","08","Baix Camp","10","0","12","9","0","9","22","18"
"431482","Tarragona",,,"0143","Tarragona","36","Tarragonès","290","180","174","219","165","103","644","487"
"431495","Tivenys",,,"0243","Terres de l'Ebre","09","Baix Ebre","1","0","3","1","0","3","4","4"
"431508","Tivissa",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","1","0","7","0","0","3","8","3"
"431520","La Torre de l'Espanyol",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","1","0","3","0","0","3","4","3"
"431536","Torredembarra",,,"0143","Tarragona","36","Tarragonès","33","0","58","24","0","38","91","62"
"431554","Tortosa",,,"0243","Terres de l'Ebre","09","Baix Ebre","88","96","190","62","81","140","374","283"
"431567","Ulldecona",,,"0243","Terres de l'Ebre","22","Montsià","10","3","12","10","3","12","25","25"
"431573","Ulldemolins",,,"0143","Tarragona","29","Priorat","1","0","1","0","0","0","2","0"
"431606","Vallmoll",,,"0143","Tarragona","01","Alt Camp","1","0","0","1","0","0","1","1"
"431613","Valls",,,"0143","Tarragona","01","Alt Camp","47","9","30","31","7","21","86","59"
"431628","Vandellòs i l'Hospitalet de l'Infant",,,"0143","Tarragona","08","Baix Camp","14","0","8","12","0","8","22","20"
"431634","El Vendrell",,,"0143","Tarragona","12","Baix Penedès","87","21","61","63","24","42","169","129"
"431665","Vilallonga del Camp",,,"0143","Tarragona","36","Tarragonès","3","0","4","3","0","4","7","7"
"431671","Vilanova d'Escornalbou",,,"0143","Tarragona","08","Baix Camp","1","0","0","1","0","0","1","1"
"431690","Vilaplana",,,"0143","Tarragona","08","Baix Camp","2","0","5","2","0","5","7","7"
"431704","Vila-rodona",,,"0143","Tarragona","01","Alt Camp","1","0","2","1","0","2","3","3"
"431711","Vila-seca",,,"0143","Tarragona","36","Tarragonès","47","14","40","33","11","17","101","61"
"431750","Vilalba dels Arcs",,,"0243","Terres de l'Ebre","37","Terra Alta","1","0","3","0","0","3","4","3"
"431779","Vinebre",,,"0243","Terres de l'Ebre","30","Ribera d'Ebre","0","0","2","0","0","2","2","2"
"431785","Vinyols i els Arcs",,,"0143","Tarragona","08","Baix Camp","3","0","0","1","0","0","3","1"
"439018","Deltebre",,,"0243","Terres de l'Ebre","09","Baix Ebre","17","0","66","16","0","47","83","63"
"439023","Sant Jaume d'Enveja",,,"0243","Terres de l'Ebre","22","Montsià","1","0","12","1","0","12","13","13"
"439039","Camarles",,,"0243","Terres de l'Ebre","09","Baix Ebre","9","0","7","4","0","5","16","9"
"439044","L'Aldea",,,"0243","Terres de l'Ebre","09","Baix Ebre","9","0","25","8","0","25","34","33"
"439057","Salou",,,"0143","Tarragona","36","Tarragonès","50","0","46","26","0","28","96","54"
"439060","L'Ampolla",,,"0243","Terres de l'Ebre","09","Baix Ebre","2","0","6","0","0","1","8","1"
"439076","La Canonja",,,"0143","Tarragona","36","Tarragonès","16","20","0","13","20","0","36","33"
